conversion,conversionAjustada2punto2Kg,mortalidadPor,noDePollosMuertos,pesoFinalPolloG,gananciaPesoDiaG,AD3Engrode,AD3Inicio,AD3Preinicio,consumoAjustadoA2punto2Kg,consumoDiaPolloG,consumoTotalPolloG,duracionEngordeDias,ea,edadAjustadaA2punto2Kg,edadEnDias,feep,ip,n,noPollitos,empresa,granja,municipio
1.8,1.82,0.02,2843,2141.63,52.75,0,0,0,4001,95,3857.17,40.6,118.91,41.33,41,292.88,66.02,2,127660, Operadora  Avicola ,Gramal,Pereira
1.73,1.7,0.03,1597,2339.01,53.77,0,0,0,3729.18,93.07,4048.43,43.5,135.14,41.77,44,310.66,78.08,13,61472, Operadora  Avicola , El  Palmar ,Bucaramanga
1.77,1.77,0.02,2357,2212.36,53.7,0,0,0,3885.39,95.02,3914.98,41.2,125.02,41.05,41,303.45,70.65,11,101719, Operadora  Avicola ,Potrerillo,Pereira
1.72,1.72,0.09,15794,2192.94,53.49,0,0,0,3783.72,91.88,3767.27,41,127.65,41.09,41,311.35,74.31,29,180847, Operadora  Avicola ,Membrillal,Pereira
1.7,1.68,0.04,3155,2276.53,55.53,0,0,0,3685.28,94.12,3858.96,41,134.3,40.09,41,327.56,79.23,38,84493, Operadora  Avicola ,Tortugas, Antioquia  Sur 
1.75,1.71,0.04,8553,2385.27,55.99,0,0,0,3748.76,98.04,4176.5,42.6,136.23,40.37,43,319.78,77.8,17,220491, Operadora  Avicola , San  Andres , Antioquia  Sur 
1.69,1.69,0.06,4804,2230.06,55.34,0,0,0,3710.34,93.77,3779.02,40.3,131.6,39.95,40,326.55,77.66,43,82602, Operadora  Avicola , Rio  Chico , Antioquia  Norte 
1.77,1.77,0.04,5642,2226.3,53.78,0,0,0,3885.42,95.37,3948.35,41.4,125.53,41.08,41,303.22,70.78,4,137839, Operadora  Avicola ,Montiengo,Bucaramanga
2.09,2.1,0.15,7632,2159.66,50.82,0,0,0,4628.47,106.2,4513.47,42.5,103.34,43.02,43,243.15,49.45,6,51607, Operadora  Avicola , Paraiso  OPAV ,Bucaramanga
1.93,1.94,0.07,7827,2174.44,49.99,0,0,0,4272.96,96.68,4205.7,43.5,112.42,43.84,44,258.44,58.13,27,114292, Operadora  Avicola ,Torcoroma,Bucaramanga
1.69,1.64,0.05,2057,2389.89,56.9,0,0,0,3606.65,95.91,4028.43,42,141.78,39.75,42,337.57,84.11,39,40186, Operadora  Avicola ,Maquina, Antioquia  Norte 
1.78,1.77,0.03,5932,2222.26,53.42,0,0,0,3898.95,95.01,3952.39,41.6,124.95,41.33,42,300.36,70.25,9,217500, Operadora  Avicola ,Cabañas,Pereira
1.77,1.67,0.06,4772,2654.62,59.25,0,0,0,3680.32,105.15,4710.75,44.8,149.59,39.45,45,333.92,84.3,22,85532, Operadora  Avicola , Los  Andes , Antioquia  Sur 
1.77,1.69,0.03,6247,2540.46,56.96,0,0,0,3720.42,100.91,4500.51,44.6,143.4,40.49,45,321.53,80.95,24,191044, Operadora  Avicola , Vista  Hermosa , Antioquia  Sur 
1.71,1.62,0.03,3662,2593.61,57.64,0,0,0,3561.9,98.34,4425.36,45,152.01,40.27,45,337.79,89.09,19,126599, Operadora  Avicola , Comba  1 , Antioquia  Sur 
1.78,1.75,0.03,1957,2312.94,55.47,0,0,0,3839.5,98.48,4106.56,41.7,130.27,40.34,42,312.4,73.37,34,66595, Operadora  Avicola , Vista  Alegre ,Pereira
1.85,1.81,0.1,14631,2343.35,53.02,0,0,0,3980,97.99,4331.36,44.2,126.78,42.39,44,286.83,68.59,23,147633, Operadora  Avicola , La  Mariana ,Bucaramanga
1.67,1.61,0.02,2647,2484.56,58.32,0,0,0,3532.51,97.45,4151.57,42.6,148.69,39.27,43,349.04,88.99,25,125415, Operadora  Avicola ,Coqueta, Antioquia  Norte 
1.71,1.67,0.04,1801,2367.6,56.91,0,0,0,3674.76,97.45,4054.06,41.6,138.27,39.62,42,332.38,80.75,41,47454, Operadora  Avicola ,Salsipuedes, Antioquia  Sur 
1.86,1.9,0.03,3644,2046.83,49.44,0,0,0,4204.8,91.98,3808.13,41.4,110.01,43.39,41,265.74,59.13,5,115783, Operadora  Avicola , El  Progreso ,Bucaramanga
1.68,1.68,0.02,3055,2208.27,55.35,0,0,0,3695.17,93.08,3714,39.9,131.3,39.81,40,329.07,78.07,3,122312, Operadora  Avicola , Santa  Lucía  Per. ,Pereira
1.72,1.68,0.06,5470,2371.12,57.27,0,0,0,3682.87,98.33,4071,41.4,138.1,39.39,41,333.58,80.44,35,98882, Operadora  Avicola ,Siberia,Pereira
1.66,1.61,0.01,536,2426.82,57.24,0,0,0,3542.26,95.21,4037.08,42.4,145.88,39.71,42,344.07,87.7,37,40555, Operadora  Avicola ,Lucha, Antioquia  Norte 
1.74,1.76,0.08,17242,2081.07,50.88,0,0,0,3897.53,88.31,3612.05,40.9,119.9,42.41,41,293.15,69.08,15,227782, Operadora  Avicola ,Rosal, Antioquia  Norte 
1.81,1.81,0.02,2816,2193.22,52.85,0,0,0,3989.54,95.73,3972.89,41.5,121.08,41.59,42,291.75,66.84,26,153880, Operadora  Avicola ,Panorama,Pereira
1.76,1.71,0.08,2926,2423.79,57.03,0,0,0,3747.62,100.33,4264.14,42.5,137.77,39.84,43,324.17,78.31,36,38422, Operadora  Avicola , Villa  Luz  OPAV , Antioquia  Sur 
1.79,1.76,0.11,2763,2301.31,56.54,0,0,0,3875.29,101.16,4117.07,40.7,128.64,39.51,41,316.06,71.9,1,25109, Operadora  Avicola , San  José  OPAV , Antioquia  Sur 
1.75,1.74,0.04,1868,2271.76,54.48,0,0,0,3811.4,95.44,3979.84,41.7,129.68,40.83,42,310.97,74.02,7,43739, Operadora  Avicola ,Nirvana, Antioquia  Sur 
1.73,1.75,0.08,15565,2119.5,51.2,0,0,0,3867.45,88.79,3675.7,41.4,122.22,42.43,41,295.21,70.47,16,190737, Operadora  Avicola , Pilar  OPAV , Antioquia  Norte 
1.8,1.72,0.1,13649,2535.22,57.75,0,0,0,3786.17,104.05,4567.83,43.9,140.71,39.91,44,320.52,78.1,14,135002, Operadora  Avicola , Balcones  OPAV ,Bucaramanga
1.75,1.71,0.02,765,2354.31,56.19,0,0,0,3753.61,98.1,4110.33,41.9,134.85,40.06,42,321.84,77.24,18,41297, Operadora  Avicola ,Socorro, Antioquia  Sur 
1.73,1.69,0.04,892,2350.96,55.19,0,0,0,3714.88,95.31,4060.24,42.6,136.12,40.77,43,319.54,78.82,28,20014, Operadora  Avicola , San  Pablo ,Bucaramanga
1.77,1.74,0.03,3845,2343.21,54.88,0,0,0,3820.47,97.36,4157.44,42.7,132.07,40.95,43,309.29,74.44,30,121302, Operadora  Avicola ,Pomona,Pereira
1.73,1.7,0.05,5920,2294.94,55.57,0,0,0,3741.24,95.88,3959.99,41.3,133,40.17,41,322.03,77.08,42,125001, Operadora  Avicola , Charco  Negro , Antioquia  Norte 
1.77,1.74,0.02,3071,2341.6,53.95,0,0,0,3821.7,95.74,4154.96,43.4,131.96,41.64,43,304.07,74.37,31,123977, Operadora  Avicola ,Terranova,Bucaramanga
1.69,1.66,0.02,599,2330.31,56.15,0,0,0,3646.85,94.93,3939.52,41.5,137.84,39.95,42,332.15,81.54,40,30359, Operadora  Avicola ,Bonita, Antioquia  Norte 
1.77,1.76,0.04,3229,2225.94,52.62,0,0,0,3870.88,92.97,3932.71,42.3,125.99,41.98,42,297.85,71.31,8,80977, Operadora  Avicola ,Tulcan,Bucaramanga
1.74,1.69,0.01,222,2384.16,56.23,0,0,0,3717.01,97.61,4138.58,42.4,137.35,40.19,42,323.93,79.12,10,19214, Operadora  Avicola , Primavera  OPAV ,Pereira
1.72,1.71,0.02,2901,2240.82,53.61,0,0,0,3762.04,92.26,3856.61,41.8,130.2,41.3,42,311.48,75.65,12,145928, Operadora  Avicola , Villa  Alicia ,Pereira
1.67,1.67,0.02,457,2212.87,53.97,0,0,0,3677.19,90.4,3706.34,41,132.12,40.85,41,322.24,78.88,20,27168, Operadora  Avicola , Guayacanes  OPAV , Antioquia  Sur 
1.67,1.63,0.03,1385,2423.31,57.7,0,0,0,3566.38,96.59,4056.87,42,144.75,39.38,42,344.65,86.47,21,49777, Operadora  Avicola , La  Matica , Antioquia  Sur 
1.69,1.7,0.03,529,2151.18,54.46,0,0,0,3743.59,91.92,3631.03,39.5,127.45,40.09,40,322.65,75.5,32,18243, Operadora  Avicola , Violeta  OPAV , Antioquia  Norte 
1.66,1.64,0.02,1402,2298.66,56.2,0,0,0,3594.41,93.22,3812.8,40.9,138.58,39.73,41,338.83,83.55,33,90481, Operadora  Avicola , Comba  2 , Antioquia  Sur 
1.71,1.69,0.02,860,2272.31,54.49,0,0,0,3714.61,93.05,3880.03,41.7,133.08,40.82,42,319.13,77.93,53,38035, Operadora  Avicola , Los  Naranjos ,Bucaramanga
1.68,1.73,0.04,6695,2001.46,50.04,0,1,0,3835.92,84.17,3366.87,40,118.98,42.53,40,297.44,70.73,77,149629, Operadora  Avicola ,Aldea, Antioquia  Norte 
1.64,1.63,0.05,1348,2272.56,56.96,0,0,0,3577.53,93.67,3737.4,39.9,138.19,39.06,40,346.33,84.02,58,28340, Operadora  Avicola ,Cascada, Antioquia  Norte 
